"date","country","total_revenue"
"2007-02-19","Kenya","4.99"
"2007-02-21","Kenya","2.99"
"2007-02-16","Mexico","2.99"
"2007-02-18","Mexico","2.99"
"2007-02-19","Mexico","4.99"
"2007-02-19","Mexico","4.99"
"2007-02-20","Mexico","3.99"
"2007-02-15","Japan","1.99"
"2007-02-16","Japan","6.99"
"2007-02-17","Japan","4.99"
"2007-02-18","Japan","2.99"
"2007-02-20","Japan","0.99"
"2007-02-15","Turkey","1.99"
"2007-02-18","Turkey","0.99"
"2007-02-20","India","0.99"
"2007-02-14","Iran","0.99"
"2007-02-15","Iran","9.99"
"2007-02-18","Iran","4.99"
"2007-02-19","Iran","4.99"
"2007-02-19","Iran","4.99"
"2007-02-21","Iran","4.99"
"2007-02-15","Mexico","0.99"
"2007-02-14","India","6.99"
"2007-02-15","Philippines","2.99"
"2007-02-15","Philippines","1.99"
"2007-02-16","Philippines","6.99"
"2007-02-16","Philippines","5.99"
"2007-02-19","Philippines","0.99"
"2007-02-20","Philippines","3.99"
"2007-02-21","Philippines","0.99"
"2007-02-18","Indonesia","2.99"
"2007-02-20","Indonesia","4.99"
"2007-02-21","Indonesia","3.99"
"2007-02-15","Philippines","6.99"
"2007-02-20","Philippines","2.99"
"2007-02-16","Brazil","1.99"
"2007-02-17","Brazil","1.99"
"2007-02-18","Brazil","4.99"
"2007-02-19","Brazil","2.99"
"2007-02-15","Congo, The Democratic Republic of the","2.99"
"2007-02-15","Congo, The Democratic Republic of the","5.99"
"2007-02-18","Congo, The Democratic Republic of the","4.99"
"2007-02-15","Russian Federation","0.99"
"2007-02-19","Russian Federation","0.99"
"2007-02-19","Iran","3.99"
"2007-02-20","Iran","1.99"
"2007-02-20","Iran","0.99"
"2007-02-20","Iran","2.99"
"2007-02-21","Iran","4.99"
"2007-02-16","China","4.99"
"2007-02-16","China","5.99"
"2007-02-17","China","7.99"
"2007-02-19","China","4.99"
"2007-02-15","India","8.99"
"2007-02-18","India","5.99"
"2007-02-20","India","2.99"
"2007-02-17","Poland","3.99"
"2007-02-17","Poland","2.99"
"2007-02-17","Poland","3.99"
"2007-02-18","Poland","2.99"
"2007-02-18","Poland","4.99"
"2007-02-20","Poland","1.99"
"2007-02-20","Poland","1.99"
"2007-02-21","Poland","4.99"
"2007-02-15","Anguilla","3.99"
"2007-02-17","Anguilla","1.99"
"2007-02-18","Anguilla","2.99"
"2007-02-18","Anguilla","4.99"
"2007-02-21","Anguilla","2.99"
"2007-02-18","United States","0.99"
"2007-02-18","United States","4.99"
"2007-02-18","United States","1.99"
"2007-02-18","United States","2.99"
"2007-02-20","United States","4.99"
"2007-02-16","Angola","7.99"
"2007-02-18","Angola","2.99"
"2007-02-18","Angola","2.99"
"2007-02-18","Angola","2.99"
"2007-02-19","Angola","7.99"
"2007-02-20","Angola","2.99"
"2007-02-17","China","0.99"
"2007-02-17","China","0.99"
"2007-02-18","China","7.99"
"2007-02-18","China","5.99"
"2007-02-20","China","3.99"
"2007-02-20","China","9.99"
"2007-02-20","China","4.99"
"2007-02-16","Japan","2.99"
"2007-02-17","Japan","0.99"
"2007-02-20","Japan","0.99"
"2007-02-16","Ukraine","3.99"
"2007-02-16","Ukraine","2.99"
"2007-02-16","Ukraine","5.99"
"2007-02-19","Ukraine","0.99"
"2007-02-21","Ukraine","2.99"
"2007-02-15","Congo, The Democratic Republic of the","0.99"
"2007-02-15","Congo, The Democratic Republic of the","0.99"
"2007-02-17","Congo, The Democratic Republic of the","0.99"
"2007-02-17","Congo, The Democratic Republic of the","0.99"
"2007-02-20","Congo, The Democratic Republic of the","5.99"
"2007-02-21","Congo, The Democratic Republic of the","4.99"
"2007-02-15","Philippines","6.99"
"2007-02-17","Philippines","0.99"
"2007-02-19","Philippines","5.99"
"2007-02-19","Philippines","4.99"
"2007-02-20","Philippines","7.99"
"2007-02-16","China","4.99"
"2007-02-17","China","4.99"
"2007-02-19","China","3.99"
"2007-02-15","Thailand","5.99"
"2007-02-16","Thailand","2.99"
"2007-02-17","Thailand","2.99"
"2007-02-18","Thailand","7.99"
"2007-02-20","Thailand","5.99"
"2007-02-15","Japan","0.99"
"2007-02-17","Japan","0.99"
"2007-02-17","Japan","2.99"
"2007-02-19","Japan","2.99"
"2007-02-20","Japan","2.99"
"2007-02-15","Ethiopia","6.99"
"2007-02-16","Ethiopia","2.99"
"2007-02-18","Ethiopia","2.99"
"2007-02-20","Ethiopia","4.99"
"2007-02-16","Russian Federation","6.99"
"2007-02-17","Russian Federation","1.99"
"2007-02-18","Russian Federation","2.99"
"2007-02-18","Russian Federation","4.99"
"2007-02-20","Russian Federation","2.99"
"2007-02-15","Spain","4.99"
"2007-02-15","Sudan","0.99"
"2007-02-16","Sudan","0.99"
"2007-02-16","Sudan","0.99"
"2007-02-20","Sudan","4.99"
"2007-02-21","Sudan","0.99"
"2007-02-21","Sudan","6.99"
"2007-02-15","Japan","1.99"
"2007-02-15","Japan","4.99"
"2007-02-15","Japan","6.99"
"2007-02-16","Russian Federation","5.99"
"2007-02-20","Russian Federation","1.99"
"2007-02-15","Brazil","2.99"
"2007-02-17","Brazil","6.99"
"2007-02-20","Brazil","9.99"
"2007-02-20","Pakistan","2.99"
"2007-02-20","Pakistan","5.99"
"2007-02-15","United States","0.99"
"2007-02-17","United States","3.99"
"2007-02-17","United States","6.99"
"2007-02-14","France","4.99"
"2007-02-18","France","4.99"
"2007-02-20","France","2.99"
"2007-02-15","India","4.99"
"2007-02-15","India","8.99"
"2007-02-18","India","3.99"
"2007-02-20","India","4.99"
"2007-02-20","India","6.99"
"2007-02-21","India","5.99"
"2007-02-15","Japan","2.99"
"2007-02-16","Japan","4.99"
"2007-02-19","Japan","4.99"
"2007-02-20","Japan","2.99"
"2007-02-15","Argentina","4.99"
"2007-02-17","Argentina","0.99"
"2007-02-17","Argentina","5.99"
"2007-02-19","Argentina","3.99"
"2007-02-21","Argentina","4.99"
"2007-02-21","Argentina","5.99"
"2007-02-17","Virgin Islands, U.S.","4.99"
"2007-02-17","Virgin Islands, U.S.","3.99"
"2007-02-18","Virgin Islands, U.S.","2.99"
"2007-02-18","Virgin Islands, U.S.","0.99"
"2007-02-19","Virgin Islands, U.S.","0.99"
"2007-02-20","Virgin Islands, U.S.","7.99"
"2007-02-21","Virgin Islands, U.S.","4.99"
"2007-02-16","South Africa","2.99"
"2007-02-19","South Africa","0.99"
"2007-02-18","Sri Lanka","4.99"
"2007-02-19","Sri Lanka","2.99"
"2007-02-19","Sri Lanka","2.99"
"2007-02-15","Nigeria","5.99"
"2007-02-18","Nigeria","8.99"
"2007-02-15","Canada","2.99"
"2007-02-17","Canada","2.99"
"2007-02-18","Canada","4.99"
"2007-02-18","Canada","5.99"
"2007-02-20","Canada","0.99"
"2007-02-21","Canada","4.99"
"2007-02-17","Indonesia","0.99"
"2007-02-17","Indonesia","2.99"
"2007-02-19","Indonesia","0.99"
"2007-02-21","India","2.99"
"2007-02-17","India","5.99"
"2007-02-19","India","4.99"
"2007-02-18","Mexico","4.99"
"2007-02-19","Mexico","9.99"
"2007-02-21","Mexico","5.99"
"2007-02-17","Netherlands","4.99"
"2007-02-20","Netherlands","2.99"
"2007-02-14","Pakistan","2.99"
"2007-02-15","Pakistan","4.99"
"2007-02-16","Pakistan","0.99"
"2007-02-16","Pakistan","2.99"
"2007-02-16","Pakistan","0.99"
"2007-02-17","Saudi Arabia","3.99"
"2007-02-19","Dominican Republic","2.99"
"2007-02-20","Dominican Republic","2.99"
"2007-02-20","Dominican Republic","2.99"
"2007-02-19","India","2.99"
"2007-02-19","United States","3.99"
"2007-02-19","United States","0.99"
"2007-02-19","United States","0.99"
"2007-02-16","India","4.99"
"2007-02-18","India","2.99"
"2007-02-20","India","4.99"
"2007-02-16","China","0.99"
"2007-02-17","China","4.99"
"2007-02-19","China","2.99"
"2007-02-19","China","5.99"
"2007-02-15","Egypt","3.99"
"2007-02-16","Egypt","0.99"
"2007-02-19","Egypt","6.99"
"2007-02-19","Egypt","6.99"
"2007-02-20","Egypt","8.99"
"2007-02-20","China","4.99"
"2007-02-20","China","6.99"
"2007-02-21","China","0.99"
"2007-02-21","Mexico","6.99"
"2007-02-16","India","6.99"
"2007-02-16","India","7.99"
"2007-02-18","India","2.99"
"2007-02-19","India","0.99"
"2007-02-21","India","0.99"
"2007-02-15","Brazil","5.99"
"2007-02-16","Brazil","3.99"
"2007-02-16","Brazil","5.99"
"2007-02-16","Brazil","1.99"
"2007-02-18","Brazil","0.99"
"2007-02-15","Russian Federation","3.99"
"2007-02-15","Russian Federation","2.99"
"2007-02-16","Russian Federation","3.99"
"2007-02-19","Russian Federation","2.99"
"2007-02-21","Russian Federation","0.99"
"2007-02-16","Japan","5.99"
"2007-02-16","Japan","2.99"
"2007-02-17","Japan","7.99"
"2007-02-21","Japan","2.99"
"2007-02-15","Russian Federation","0.99"
"2007-02-15","Russian Federation","2.99"
"2007-02-15","Russian Federation","2.99"
"2007-02-16","Russian Federation","6.99"
"2007-02-20","Russian Federation","0.99"
"2007-02-20","Russian Federation","0.99"
"2007-02-16","Bolivia","2.99"
"2007-02-17","Bolivia","4.99"
"2007-02-18","Bolivia","3.99"
"2007-02-18","Bolivia","4.99"
"2007-02-19","Bolivia","2.99"
"2007-02-21","Bolivia","6.99"
"2007-02-21","Bolivia","8.99"
"2007-02-14","South Africa","5.99"
"2007-02-16","South Africa","2.99"
"2007-02-20","South Africa","4.99"
"2007-02-15","Philippines","0.99"
"2007-02-16","Philippines","5.99"
"2007-02-18","Philippines","7.99"
"2007-02-18","Philippines","3.99"
"2007-02-18","Philippines","3.99"
"2007-02-20","Philippines","2.99"
"2007-02-20","Philippines","2.99"
"2007-02-15","China","0.99"
"2007-02-20","China","0.99"
"2007-02-18","Canada","9.99"
"2007-02-18","Dominican Republic","5.99"
"2007-02-19","Dominican Republic","2.99"
"2007-02-21","Dominican Republic","2.99"
"2007-02-15","Zambia","4.99"
"2007-02-16","Zambia","0.99"
"2007-02-18","Zambia","0.99"
"2007-02-19","Zambia","4.99"
"2007-02-21","Zambia","4.99"
"2007-02-21","Zambia","0.99"
"2007-02-15","Italy","4.99"
"2007-02-16","Italy","0.99"
"2007-02-17","Italy","4.99"
"2007-02-19","Italy","2.99"
"2007-02-20","Italy","2.99"
"2007-02-21","Italy","6.99"
"2007-02-16","Algeria","4.99"
"2007-02-18","Algeria","4.99"
"2007-02-15","China","5.99"
"2007-02-15","China","0.99"
"2007-02-16","China","8.99"
"2007-02-16","China","2.99"
"2007-02-19","Brazil","2.99"
"2007-02-15","Estonia","0.99"
"2007-02-15","Estonia","3.99"
"2007-02-15","Estonia","1.99"
"2007-02-19","Estonia","4.99"
"2007-02-21","Estonia","7.99"
"2007-02-21","Estonia","5.99"
"2007-02-18","India","4.99"
"2007-02-18","India","3.99"
"2007-02-18","India","6.99"
"2007-02-19","India","0.99"
"2007-02-20","India","2.99"
"2007-02-20","India","0.99"
"2007-02-15","Russian Federation","0.99"
"2007-02-17","Russian Federation","2.99"
"2007-02-17","Russian Federation","4.99"
"2007-02-18","Russian Federation","4.99"
"2007-02-15","Germany","5.99"
"2007-02-16","Germany","7.99"
"2007-02-19","Germany","0.99"
"2007-02-21","Germany","3.99"
"2007-02-21","Germany","5.99"
"2007-02-15","Iran","4.99"
"2007-02-18","Iran","0.99"
"2007-02-20","Iran","2.99"
"2007-02-16","Indonesia","4.99"
"2007-02-16","Indonesia","0.99"
"2007-02-17","Indonesia","2.99"
"2007-02-18","Indonesia","0.99"
"2007-02-18","Indonesia","4.99"
"2007-02-19","Indonesia","2.99"
"2007-02-20","Indonesia","4.99"
"2007-02-15","Mexico","0.99"
"2007-02-16","Mexico","0.99"
"2007-02-17","Mexico","6.99"
"2007-02-19","Mexico","1.99"
"2007-02-20","Mexico","3.99"
"2007-02-20","Mexico","0.99"
"2007-02-21","Mexico","6.99"
"2007-02-15","United Arab Emirates","4.99"
"2007-02-15","United Arab Emirates","5.99"
"2007-02-16","United Arab Emirates","3.99"
"2007-02-18","United Arab Emirates","0.99"
"2007-02-18","United Arab Emirates","4.99"
"2007-02-18","United Arab Emirates","0.99"
"2007-02-19","United Arab Emirates","0.99"
"2007-02-19","Venezuela","5.99"
"2007-02-19","Venezuela","7.99"
"2007-02-20","Venezuela","4.99"
"2007-02-16","Mexico","4.99"
"2007-02-16","Mexico","7.99"
"2007-02-16","Mexico","1.99"
"2007-02-17","Mexico","4.99"
"2007-02-17","Mexico","5.99"
"2007-02-17","Mexico","5.99"
"2007-02-18","Mexico","2.99"
"2007-02-19","Mexico","9.99"
"2007-02-21","Mexico","2.99"
"2007-02-21","Mexico","4.99"
"2007-02-15","Bolivia","1.99"
"2007-02-16","Bolivia","1.99"
"2007-02-17","Bolivia","2.99"
"2007-02-18","Bolivia","0.99"
"2007-02-15","Senegal","2.99"
"2007-02-16","Senegal","0.99"
"2007-02-17","Senegal","5.99"
"2007-02-17","Senegal","6.99"
"2007-02-18","Senegal","4.99"
"2007-02-18","Senegal","0.99"
"2007-02-19","Senegal","2.99"
"2007-02-15","United States","4.99"
"2007-02-16","United States","0.99"
"2007-02-17","United States","0.99"
"2007-02-17","United States","7.99"
"2007-02-19","United States","4.99"
"2007-02-19","United States","3.99"
"2007-02-19","United States","0.99"
"2007-02-20","United States","2.99"
"2007-02-20","United States","2.99"
"2007-02-19","Indonesia","5.99"
"2007-02-21","Indonesia","0.99"
"2007-02-17","Iran","0.99"
"2007-02-17","Iran","2.99"
"2007-02-17","Iran","4.99"
"2007-02-20","Iran","0.99"
"2007-02-20","Iran","4.99"
"2007-02-20","Iran","0.99"
"2007-02-21","Iran","9.99"
"2007-02-15","Colombia","0.99"
"2007-02-20","Philippines","5.99"
"2007-02-21","Philippines","4.99"
"2007-02-16","Russian Federation","5.99"
"2007-02-17","Russian Federation","9.99"
"2007-02-21","Russian Federation","4.99"
"2007-02-15","Canada","2.99"
"2007-02-18","Canada","4.99"
"2007-02-20","Canada","2.99"
"2007-02-21","Canada","4.99"
"2007-02-15","Chile","4.99"
"2007-02-20","Chile","2.99"
"2007-02-15","Mexico","2.99"
"2007-02-17","Mexico","4.99"
"2007-02-17","Mexico","8.99"
"2007-02-18","Mexico","0.99"
"2007-02-16","China","7.99"
"2007-02-18","China","8.99"
"2007-02-20","China","3.99"
"2007-02-21","China","4.99"
"2007-02-21","China","2.99"
"2007-02-16","Mexico","8.99"
"2007-02-17","Mexico","4.99"
"2007-02-19","Mexico","9.99"
"2007-02-21","Mexico","6.99"
"2007-02-15","India","2.99"
"2007-02-16","India","8.99"
"2007-02-16","India","2.99"
"2007-02-17","India","2.99"
"2007-02-18","India","4.99"
"2007-02-19","India","0.99"
"2007-02-15","Spain","0.99"
"2007-02-16","Spain","9.99"
"2007-02-15","Yemen","0.99"
"2007-02-15","Yemen","0.99"
"2007-02-16","Yemen","7.99"
"2007-02-15","South Africa","4.99"
"2007-02-15","South Africa","2.99"
"2007-02-17","South Africa","2.99"
"2007-02-18","South Africa","4.99"
"2007-02-20","South Africa","4.99"
"2007-02-15","Vietnam","4.99"
"2007-02-16","Vietnam","6.99"
"2007-02-19","Vietnam","5.99"
"2007-02-20","Vietnam","0.99"
"2007-02-20","Vietnam","4.99"
"2007-02-21","Vietnam","0.99"
"2007-02-16","Indonesia","0.99"
"2007-02-17","Indonesia","2.99"
"2007-02-19","Indonesia","4.99"
"2007-02-19","Indonesia","4.99"
"2007-02-16","Netherlands","8.99"
"2007-02-20","Netherlands","7.99"
"2007-02-16","Canada","3.99"
"2007-02-17","Canada","0.99"
"2007-02-18","Canada","4.99"
"2007-02-21","Canada","2.99"
"2007-02-16","United Kingdom","6.99"
"2007-02-17","United Kingdom","2.99"
"2007-02-18","United Kingdom","10.99"
"2007-02-19","United Kingdom","4.99"
"2007-02-16","Israel","0.99"
"2007-02-18","Israel","4.99"
"2007-02-18","Israel","6.99"
"2007-02-19","Israel","8.99"
"2007-02-19","Israel","4.99"
"2007-02-21","Israel","4.99"
"2007-02-17","United States","2.99"
"2007-02-17","United States","3.99"
"2007-02-17","United States","2.99"
"2007-02-17","United States","3.99"
"2007-02-18","United States","2.99"
"2007-02-19","United States","6.99"
"2007-02-15","Turkey","0.99"
"2007-02-16","Turkey","0.99"
"2007-02-14","Tanzania","2.99"
"2007-02-18","Tanzania","4.99"
"2007-02-21","Tanzania","4.99"
"2007-02-21","Tanzania","0.99"
"2007-02-20","Mexico","2.99"
"2007-02-21","Mexico","0.99"
"2007-02-19","Turkey","4.99"
"2007-02-19","Turkey","0.99"
"2007-02-21","Turkey","8.99"
"2007-02-15","China","3.99"
"2007-02-16","China","3.99"
"2007-02-17","China","4.99"
"2007-02-17","China","5.99"
"2007-02-16","China","2.99"
"2007-02-16","China","8.99"
"2007-02-17","Mexico","4.99"
"2007-02-17","Mexico","5.99"
"2007-02-19","Mexico","2.99"
"2007-02-19","Mexico","2.99"
"2007-02-20","Russian Federation","3.99"
"2007-02-16","Mexico","3.99"
"2007-02-16","Mexico","5.99"
"2007-02-16","Japan","3.99"
"2007-02-18","Japan","0.99"
"2007-02-18","Japan","7.99"
"2007-02-19","Japan","4.99"
"2007-02-16","Colombia","3.99"
"2007-02-15","Egypt","2.99"
"2007-02-15","Egypt","4.99"
"2007-02-17","Egypt","4.99"
"2007-02-18","Egypt","4.99"
"2007-02-18","Egypt","4.99"
"2007-02-20","Egypt","4.99"
"2007-02-21","Egypt","3.99"
"2007-02-16","India","1.99"
"2007-02-16","India","4.99"
"2007-02-17","India","4.99"
"2007-02-21","India","9.99"
"2007-02-17","Turkey","3.99"
"2007-02-18","Turkey","4.99"
"2007-02-19","Turkey","0.99"
"2007-02-19","Turkey","2.99"
"2007-02-16","Ecuador","2.99"
"2007-02-17","China","2.99"
"2007-02-18","China","4.99"
"2007-02-19","China","7.99"
"2007-02-20","China","3.99"
"2007-02-19","China","2.99"
"2007-02-17","United Kingdom","8.99"
"2007-02-18","United Kingdom","5.99"
"2007-02-18","United Kingdom","2.99"
"2007-02-19","United Kingdom","4.99"
"2007-02-15","Oman","6.99"
"2007-02-16","Oman","2.99"
"2007-02-18","Oman","2.99"
"2007-02-18","Oman","4.99"
"2007-02-20","Oman","0.99"
"2007-02-21","Oman","0.99"
"2007-02-15","Italy","2.99"
"2007-02-15","Italy","4.99"
"2007-02-16","Italy","4.99"
"2007-02-21","Italy","1.99"
"2007-02-15","Indonesia","5.99"
"2007-02-15","Indonesia","5.99"
"2007-02-17","Indonesia","3.99"
"2007-02-18","Indonesia","6.99"
"2007-02-20","Indonesia","2.99"
"2007-02-21","Poland","5.99"
"2007-02-21","Poland","7.99"
"2007-02-16","India","7.99"
"2007-02-18","India","0.99"
"2007-02-20","India","0.99"
"2007-02-17","Japan","4.99"
"2007-02-18","Japan","2.99"
"2007-02-21","Japan","0.99"
"2007-02-19","United States","1.99"
"2007-02-20","United States","6.99"
"2007-02-16","Philippines","5.99"
"2007-02-17","Philippines","4.99"
"2007-02-19","Philippines","7.99"
"2007-02-20","Philippines","5.99"
"2007-02-15","Indonesia","6.99"
"2007-02-15","Indonesia","2.99"
"2007-02-16","Indonesia","0.99"
"2007-02-19","Indonesia","9.99"
"2007-02-19","Indonesia","6.99"
"2007-02-15","Turkey","4.99"
"2007-02-17","Turkey","4.99"
"2007-02-18","Turkey","4.99"
"2007-02-16","India","4.99"
"2007-02-15","India","2.99"
"2007-02-20","India","4.99"
"2007-02-15","Russian Federation","5.99"
"2007-02-16","Russian Federation","0.99"
"2007-02-17","Russian Federation","0.99"
"2007-02-19","Russian Federation","8.99"
"2007-02-19","Russian Federation","0.99"
"2007-02-19","Russian Federation","0.99"
"2007-02-21","Russian Federation","8.99"
"2007-02-21","Russian Federation","5.99"
"2007-02-15","China","2.99"
"2007-02-15","China","2.99"
"2007-02-20","China","10.99"
"2007-02-21","China","4.99"
"2007-02-14","United Kingdom","6.99"
"2007-02-17","United Kingdom","4.99"
"2007-02-18","United Kingdom","2.99"
"2007-02-16","Nauru","2.99"
"2007-02-18","Nauru","7.99"
"2007-02-19","Nauru","1.99"
"2007-02-16","China","4.99"
"2007-02-17","China","3.99"
"2007-02-18","China","0.99"
"2007-02-19","China","0.99"
"2007-02-20","China","2.99"
"2007-02-21","China","0.99"
"2007-02-15","Chile","4.99"
"2007-02-15","Chile","5.99"
"2007-02-17","Chile","4.99"
"2007-02-18","Chile","4.99"
"2007-02-18","Chile","0.99"
"2007-02-20","Chile","3.99"
"2007-02-14","Cambodia","4.99"
"2007-02-15","Cambodia","1.99"
"2007-02-16","Cambodia","10.99"
"2007-02-17","Cambodia","0.99"
"2007-02-20","Cambodia","0.99"
"2007-02-21","Cambodia","2.99"
"2007-02-16","Taiwan","4.99"
"2007-02-16","Taiwan","8.99"
"2007-02-16","Taiwan","4.99"
"2007-02-19","Taiwan","2.99"
"2007-02-20","Taiwan","0.99"
"2007-02-16","Turkey","5.99"
"2007-02-21","Turkey","0.99"
"2007-02-17","Japan","2.99"
"2007-02-18","Japan","8.99"
"2007-02-20","Japan","5.99"
"2007-02-15","Vietnam","0.99"
"2007-02-17","Vietnam","6.99"
"2007-02-19","Vietnam","4.99"
"2007-02-16","China","0.99"
"2007-02-17","China","0.99"
"2007-02-15","Philippines","3.99"
"2007-02-20","Philippines","8.99"
"2007-02-20","Philippines","2.99"
"2007-02-20","Philippines","0.99"
"2007-02-16","Vietnam","6.99"
"2007-02-18","Vietnam","8.99"
"2007-02-19","Vietnam","7.99"
"2007-02-19","Vietnam","0.99"
"2007-02-15","Indonesia","1.99"
"2007-02-16","Indonesia","4.99"
"2007-02-21","Indonesia","2.99"
"2007-02-16","Italy","2.99"
"2007-02-15","United States","4.99"
"2007-02-16","United States","0.99"
"2007-02-17","United States","7.99"
"2007-02-17","United States","2.99"
"2007-02-17","United States","2.99"
"2007-02-18","United States","4.99"
"2007-02-19","United States","2.99"
"2007-02-20","United States","6.99"
"2007-02-21","United States","6.99"
"2007-02-15","Belarus","2.99"
"2007-02-18","Belarus","0.99"
"2007-02-18","Belarus","0.99"
"2007-02-19","Belarus","2.99"
"2007-02-17","Angola","2.99"
"2007-02-17","Angola","4.99"
"2007-02-15","India","1.99"
"2007-02-16","India","0.99"
"2007-02-21","India","0.99"
"2007-02-15","Argentina","1.99"
"2007-02-15","Argentina","0.99"
"2007-02-17","Argentina","2.99"
"2007-02-20","Japan","2.99"
"2007-02-16","Vietnam","4.99"
"2007-02-19","Vietnam","3.99"
"2007-02-15","China","5.99"
"2007-02-16","China","0.99"
"2007-02-16","China","0.99"
"2007-02-17","China","2.99"
"2007-02-19","China","6.99"
"2007-02-20","China","0.99"
"2007-02-16","India","4.99"
"2007-02-16","India","2.99"
"2007-02-18","India","0.99"
"2007-02-20","India","1.99"
"2007-02-20","India","4.99"
"2007-02-16","Chad","4.99"
"2007-02-21","Chad","4.99"
"2007-02-16","South Korea","4.99"
"2007-02-17","South Korea","2.99"
"2007-02-18","South Korea","2.99"
"2007-02-15","United States","2.99"
"2007-02-17","United States","2.99"
"2007-02-19","United States","8.99"
"2007-02-20","United States","8.99"
"2007-02-15","China","5.99"
"2007-02-17","China","4.99"
"2007-02-19","China","4.99"
"2007-02-20","China","2.99"
"2007-02-15","Venezuela","3.99"
"2007-02-15","Venezuela","0.99"
"2007-02-15","Venezuela","4.99"
"2007-02-15","Bulgaria","2.99"
"2007-02-15","Bulgaria","4.99"
"2007-02-19","Bulgaria","2.99"
"2007-02-20","Bulgaria","3.99"
"2007-02-21","Bulgaria","3.99"
"2007-02-17","Italy","2.99"
"2007-02-19","Italy","6.99"
"2007-02-19","Indonesia","4.99"
"2007-02-20","Indonesia","10.99"
"2007-02-16","Morocco","4.99"
"2007-02-18","Morocco","2.99"
"2007-02-20","Morocco","4.99"
"2007-02-20","Morocco","2.99"
"2007-02-21","Morocco","5.99"
"2007-02-15","Brazil","1.99"
"2007-02-15","Brazil","10.99"
"2007-02-18","Brazil","0.99"
"2007-02-18","Brazil","2.99"
"2007-02-17","Ukraine","2.99"
"2007-02-14","China","1.99"
"2007-02-15","China","0.99"
"2007-02-16","China","3.99"
"2007-02-18","China","5.99"
"2007-02-17","Japan","8.99"
"2007-02-15","Philippines","1.99"
"2007-02-18","Philippines","2.99"
"2007-02-20","Philippines","0.99"
"2007-02-17","Spain","2.99"
"2007-02-15","China","6.99"
"2007-02-17","China","3.99"
